"","region_txt","date","sum"
"100","Australasia & Oceania",2000-11-01 11:00:00,7
"101","Australasia & Oceania",2001-09-01 10:00:00,0
"102","Australasia & Oceania",2001-10-01 10:00:00,0
"103","Australasia & Oceania",2001-12-01 11:00:00,0
"104","Australasia & Oceania",2002-07-01 10:00:00,0
"105","Australasia & Oceania",2002-08-01 10:00:00,1
"106","Australasia & Oceania",2003-02-01 11:00:00,1
"107","Australasia & Oceania",2003-03-01 11:00:00,0
"108","Australasia & Oceania",2006-04-01 11:00:00,0
"109","Australasia & Oceania",2006-08-01 10:00:00,0
"110","Australasia & Oceania",2007-11-01 11:00:00,0
"111","Australasia & Oceania",2008-04-01 11:00:00,0
"112","Australasia & Oceania",2008-06-01 10:00:00,0
"113","Australasia & Oceania",2008-08-01 10:00:00,0
"114","Australasia & Oceania",2008-12-01 11:00:00,0
"115","Australasia & Oceania",2009-10-01 10:00:00,0
"116","Australasia & Oceania",2010-02-01 11:00:00,0
"117","Australasia & Oceania",2013-09-01 10:00:00,0
"118","Australasia & Oceania",2014-02-01 11:00:00,0
"119","Australasia & Oceania",2014-05-01 10:00:00,0
"120","Australasia & Oceania",2014-08-01 10:00:00,0
"121","Australasia & Oceania",2014-09-01 10:00:00,1
"122","Australasia & Oceania",2014-11-01 11:00:00,0
"123","Australasia & Oceania",2014-12-01 11:00:00,3
"124","Australasia & Oceania",2015-01-01 11:00:00,0
"125","Australasia & Oceania",2015-03-01 11:00:00,0
"126","Australasia & Oceania",2015-04-01 11:00:00,0
"127","Australasia & Oceania",2015-05-01 10:00:00,0
"128","Australasia & Oceania",2015-07-01 10:00:00,0
"129","Australasia & Oceania",2015-10-01 10:00:00,2
"130","Australasia & Oceania",2015-11-01 11:00:00,0
"131","Australasia & Oceania",2015-12-01 11:00:00,0
"132","Australasia & Oceania",2016-02-01 11:00:00,0
"133","Australasia & Oceania",2016-04-01 11:00:00,0
"134","Australasia & Oceania",2016-05-01 10:00:00,0
"135","Australasia & Oceania",2016-06-01 10:00:00,0
"136","Australasia & Oceania",2016-07-01 10:00:00,0
"137","Australasia & Oceania",2016-09-01 10:00:00,0
"138","Australasia & Oceania",2016-11-01 11:00:00,0
"139","Australasia & Oceania",2016-12-01 11:00:00,0
"140","Australasia & Oceania",2017-04-01 11:00:00,1
"141","Australasia & Oceania",2017-06-01 10:00:00,2
"142","Australasia & Oceania",2017-07-01 10:00:00,0
"143","Australasia & Oceania",2017-12-01 11:00:00,1
"144","Central America & Caribbean",1970-01-01 10:00:00,1
"145","Central America & Caribbean",1970-03-01 10:00:00,1
"146","Central America & Caribbean",1970-07-01 10:00:00,1
"147","Central America & Caribbean",1971-01-01 10:00:00,0
"148","Central America & Caribbean",1971-02-01 10:00:00,0
"149","Central America & Caribbean",1971-05-01 10:00:00,0
"150","Central America & Caribbean",1972-05-01 10:00:00,0
"151","Central America & Caribbean",1972-11-01 11:00:00,0
"152","Central America & Caribbean",1973-01-01 11:00:00,0
"153","Central America & Caribbean",1973-04-01 10:00:00,0
"154","Central America & Caribbean",1973-05-01 10:00:00,0
